mmsi,time,traj_id,x,y,prob
1,65.0000000000,0,6958875.8257945133,40875.8272553180,1.0000000000
1,65.0000000000,0,6958874.2845721599,40874.2859786369,1.0000000000
1,65.0000000000,0,6958873.8136420967,40873.8150339945,1.0000000000
1,65.0000000000,0,6958873.6697467351,40873.6711343069,1.0000000000
1,65.0000000000,0,6958873.6257787021,40873.6271649636,1.0000000000
1,65.0000000000,0,6958873.6123440247,40873.6137298871,1.0000000000
1,65.0000000000,0,6958873.6082389848,40873.6096247248,1.0000000000
1,65.0000000000,0,6958873.6069846665,40873.6083703697,1.0000000000
1,65.0000000000,0,6958873.6066014031,40873.6079870945,1.0000000000
1,65.0000000000,0,6958873.6064842949,40873.6078699827,1.0000000000
1,65.0000000000,0,6958873.6064485116,40873.6078341985,1.0000000000
1,65.0000000000,0,6958873.6064375779,40873.6078232644,1.0000000000
1,65.0000000000,0,6958873.6064342372,40873.6078199235,1.0000000000
1,65.0000000000,0,6958873.6064332165,40873.6078189026,1.0000000000
1,65.0000000000,0,6958873.6064329045,40873.6078185907,1.0000000000
1,65.0000000000,0,6958873.6064328095,40873.6078184954,1.0000000000
1,65.0000000000,0,6958873.6064327806,40873.6078184663,1.0000000000
1,65.0000000000,0,6958873.6064327713,40873.6078184574,1.0000000000
1,65.0000000000,0,6958873.6064327685,40873.6078184546,1.0000000000
1,65.0000000000,0,6958873.6064327676,40873.6078184538,1.0000000000
1,65.0000000000,0,6958873.6064327676,40873.6078184536,1.0000000000
1,65.0000000000,0,6958873.6064327676,40873.6078184535,1.0000000000
1,65.0000000000,0,6958873.6064327676,40873.6078184535,1.0000000000
1,65.0000000000,0,6958873.6064327676,40873.6078184535,1.0000000000
1,65.0000000000,0,6958873.6064327676,40873.6078184535,1.0000000000
1,65.0000000000,0,6958873.6064327676,40873.6078184535,1.0000000000
1,65.0000000000,0,6958873.6064327676,40873.6078184535,1.0000000000
1,65.0000000000,0,6958873.6064327676,40873.6078184535,1.0000000000
1,65.0000000000,0,6958873.6064327676,40873.6078184535,1.0000000000
1,65.0000000000,0,6958873.6064327676,40873.6078184535,1.0000000000
1,65.0000000000,0,6958873.6064327676,40873.6078184535,1.0000000000
1,65.0000000000,0,6958873.6064327676,40873.6078184535,1.0000000000
1,65.0000000000,0,6958873.6064327676,40873.6078184535,1.0000000000
1,65.0000000000,0,6958873.6064327676,40873.6078184535,1.0000000000
1,65.0000000000,0,6958873.6064327676,40873.6078184535,1.0000000000
1,65.0000000000,0,6958873.6064327676,40873.6078184535,1.0000000000
